timestamp,exchange_long,exchange_short,symbol,gross_spread_pct,price_long,price_short,funding_long,funding_short,funding_diff_pct,effective_spread_pct
2026-06-08T05:41:36.232687+00:00Z,bybit,mexc,ASRUSDT,1.4913,0.9656,0.98,5e-05,5e-05,0.0,1.4913
2026-06-08T05:41:36.232687+00:00Z,gate,mexc,ASRUSDT,1.3444,0.967,0.98,5e-05,5e-05,0.0,1.3444
2026-06-08T05:41:38.267668+00:00Z,bybit,mexc,ASRUSDT,1.5334,0.9652,0.98,5e-05,5e-05,0.0,1.5334
2026-06-08T05:41:38.267668+00:00Z,gate,mexc,ASRUSDT,1.3444,0.967,0.98,5e-05,5e-05,0.0,1.3444
2026-06-08T05:41:38.267668+00:00Z,mexc,gate,CLOUSDT,0.735,0.1755,0.17679,5e-05,0.0001,5e-05,0.7349
2026-06-08T05:41:38.267668+00:00Z,mexc,bybit,CLOUSDT,0.5698,0.1755,0.1765,5e-05,9.8e-05,4.8e-05,0.5697
2026-06-08T05:41:40.333870+00:00Z,bybit,mexc,ASRUSDT,1.8499,0.9622,0.98,5e-05,5e-05,0.0,1.8499
2026-06-08T05:41:40.333870+00:00Z,gate,mexc,ASRUSDT,1.5544,0.965,0.98,5e-05,5e-05,0.0,1.5544
2026-06-08T05:41:40.333870+00:00Z,mexc,bybit,CLOUSDT,0.7578,0.1755,0.17683,5e-05,9.8e-05,4.8e-05,0.7577
2026-06-08T05:41:40.333870+00:00Z,mexc,gate,CLOUSDT,0.735,0.1755,0.17679,5e-05,0.0001,5e-05,0.7349
2026-06-08T05:41:42.356017+00:00Z,bybit,mexc,ASRUSDT,1.6808,0.9638,0.98,5e-05,5e-05,0.0,1.6808
2026-06-08T05:41:42.356017+00:00Z,gate,mexc,ASRUSDT,1.6598,0.964,0.98,5e-05,5e-05,0.0,1.6598
2026-06-08T05:41:42.356017+00:00Z,mexc,gate,CLOUSDT,0.5754,0.1755,0.17651,5e-05,0.0001,5e-05,0.5754
2026-06-08T05:41:42.356017+00:00Z,mexc,bybit,CLOUSDT,0.5014,0.1755,0.17638,5e-05,9.8e-05,4.8e-05,0.5013
2026-06-08T05:41:44.377468+00:00Z,bybit,mexc,ASRUSDT,1.8711,0.962,0.98,5e-05,5e-05,0.0,1.8711
2026-06-08T05:41:44.377468+00:00Z,gate,mexc,ASRUSDT,1.6598,0.964,0.98,5e-05,5e-05,0.0,1.6598
2026-06-08T05:41:44.377468+00:00Z,mexc,bybit,CLOUSDT,0.7008,0.1755,0.17673,5e-05,9.8e-05,4.8e-05,0.7008
2026-06-08T05:41:44.377468+00:00Z,mexc,gate,CLOUSDT,0.6723,0.1755,0.17668,5e-05,0.0001,5e-05,0.6723
2026-06-08T05:41:46.394627+00:00Z,bybit,mexc,ASRUSDT,1.7865,0.9628,0.98,5e-05,5e-05,0.0,1.7865
2026-06-08T05:41:46.394627+00:00Z,gate,mexc,ASRUSDT,1.6598,0.964,0.98,5e-05,5e-05,0.0,1.6598
2026-06-08T05:41:46.394627+00:00Z,mexc,gate,CLOUSDT,0.5413,0.1755,0.17645,5e-05,0.0001,5e-05,0.5412
2026-06-08T05:41:48.411499+00:00Z,bybit,mexc,ASRUSDT,1.8711,0.962,0.98,5e-05,5e-05,0.0,1.8711
2026-06-08T05:41:48.411499+00:00Z,gate,mexc,ASRUSDT,1.6598,0.964,0.98,5e-05,5e-05,0.0,1.6598
2026-06-08T05:41:50.432204+00:00Z,bybit,mexc,ASRUSDT,1.8711,0.962,0.98,5e-05,5e-05,0.0,1.8711
2026-06-08T05:41:50.432204+00:00Z,gate,mexc,ASRUSDT,1.6598,0.964,0.98,5e-05,5e-05,0.0,1.6598
2026-06-08T05:41:52.449690+00:00Z,bybit,mexc,ASRUSDT,1.8288,0.9624,0.98,5e-05,5e-05,0.0,1.8288
2026-06-08T05:41:52.449690+00:00Z,gate,mexc,ASRUSDT,1.5544,0.965,0.98,5e-05,5e-05,0.0,1.5544
2026-06-08T05:41:54.465959+00:00Z,bybit,mexc,ASRUSDT,2.3285,0.9577,0.98,5e-05,5e-05,0.0,2.3285
2026-06-08T05:41:54.465959+00:00Z,gate,mexc,ASRUSDT,2.0833,0.96,0.98,5e-05,5e-05,0.0,2.0833
2026-06-08T05:41:56.483899+00:00Z,bybit,mexc,ASRUSDT,2.0833,0.96,0.98,5e-05,5e-05,0.0,2.0833
2026-06-08T05:41:56.483899+00:00Z,gate,mexc,ASRUSDT,2.0833,0.96,0.98,5e-05,5e-05,0.0,2.0833
2026-06-08T05:41:58.499215+00:00Z,bybit,mexc,ASRUSDT,2.3499,0.9575,0.98,5e-05,5e-05,0.0,2.3499
2026-06-08T05:41:58.499215+00:00Z,gate,mexc,ASRUSDT,2.0833,0.96,0.98,5e-05,5e-05,0.0,2.0833
2026-06-08T05:42:00.516149+00:00Z,gate,mexc,ASRUSDT,1.6598,0.964,0.98,5e-05,5e-05,0.0,1.6598
2026-06-08T05:42:00.516149+00:00Z,bybit,mexc,ASRUSDT,1.1352,0.969,0.98,5e-05,5e-05,0.0,1.1352
