timestamp,exchange_long,exchange_short,symbol,gross_spread_pct,price_long,price_short,funding_long,funding_short,funding_diff_pct,effective_spread_pct
2026-06-08T06:29:11.867353+00:00Z,gate,mexc,ESPORTSUSDT,0.5015,0.07827,0.07866,-0.002017,-0.005228,-0.003211,0.5047
2026-06-08T06:29:15.874143+00:00Z,gate,mexc,ESPORTSUSDT,0.5137,0.07836,0.07876,-0.002017,-0.005228,-0.003211,0.5169
2026-06-08T06:29:57.930621+00:00Z,gate,mexc,ESPORTSUSDT,0.6416,0.0783,0.0788,-0.002232,-0.005228,-0.002996,0.6446
2026-06-08T06:30:01.947853+00:00Z,gate,mexc,ESPORTSUSDT,0.5004,0.07841,0.0788,-0.002232,-0.005228,-0.002996,0.5034
2026-06-08T06:31:56.083593+00:00Z,mexc,bybit,LABUSDT,0.5373,13.021,13.091,0.000206,0.000473,0.000267,0.5371
2026-06-08T06:32:20.115562+00:00Z,gate,mexc,ESPORTSUSDT,0.7449,0.07817,0.07875,-0.00266,-0.005627,-0.002967,0.7479
2026-06-08T06:32:22.121631+00:00Z,gate,mexc,ESPORTSUSDT,0.6419,0.07825,0.07875,-0.00266,-0.005627,-0.002967,0.6449
2026-06-08T06:32:24.137146+00:00Z,gate,mexc,ESPORTSUSDT,0.5648,0.07831,0.07875,-0.00266,-0.005627,-0.002967,0.5678
2026-06-08T06:32:26.151614+00:00Z,gate,mexc,ESPORTSUSDT,0.5648,0.07831,0.07875,-0.00266,-0.005627,-0.002967,0.5678
2026-06-08T06:32:28.167554+00:00Z,gate,mexc,ESPORTSUSDT,0.5648,0.07831,0.07875,-0.00266,-0.005627,-0.002967,0.5678
2026-06-08T06:32:30.183361+00:00Z,gate,mexc,ESPORTSUSDT,0.552,0.07832,0.07875,-0.00266,-0.005627,-0.002967,0.555
2026-06-08T06:33:38.389070+00:00Z,gate,mexc,ESPORTSUSDT,0.5265,0.07837,0.07878,-0.003093,-0.006455,-0.003362,0.5299
2026-06-08T06:34:30.463769+00:00Z,gate,mexc,ESPORTSUSDT,0.5014,0.0783,0.07869,-0.003093,-0.006455,-0.003362,0.5048
2026-06-08T06:35:04.529449+00:00Z,gate,mexc,LABUSDT,0.7189,13.0591,13.153,5e-05,0.00022,0.00017,0.7187
2026-06-08T06:35:04.529449+00:00Z,bybit,mexc,LABUSDT,0.6585,13.067,13.153,0.000563,0.00022,-0.000343,0.6588
2026-06-08T06:35:06.586027+00:00Z,gate,mexc,LABUSDT,0.8324,13.0444,13.153,5e-05,0.00022,0.00017,0.8322
